                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3285,                 7.3456,                0.95492,                      0,                      0,                      0,                      0,                 1.1489,                 5.1548,                0.84156,                 0.0838,                 0.0018,                 0.0018
                      2,                 1.2419,                 6.1581,                0.86585,                      0,                      0,                      0,                      0,                 1.1879,                 4.7683,                0.85622,               0.066693,              0.0036927,              0.0036927
                      3,                  1.178,                 5.3634,                0.85698,                  0.025,                0.00132,                0.01316,                0.01053,                 1.0249,                 4.6788,                0.83284,               0.049578,              0.0055778,              0.0055778
                      4,                 1.1762,                 4.8483,                0.85966,                  0.037,                0.26818,                 0.0814,                 0.0362,                 1.5982,                 3.9547,                0.92585,               0.032455,              0.0074554,              0.0074554
                      5,                  1.217,                 4.3679,                 0.8657,                0.06191,                 0.3132,                0.13406,                0.09207,                 1.1257,                 3.7845,                0.85944,               0.015326,              0.0093256,              0.0093256
                      6,                 1.1853,                 4.0641,                0.87395,                0.42649,                0.29521,                0.17686,                0.10398,                 1.4102,                 2.6481,                0.96279,               0.009901,               0.009901,               0.009901
                      7,                 1.1223,                 3.7946,                0.86592,                0.42741,                0.21583,                0.18108,                0.11612,                  1.178,                 2.8523,                0.89016,               0.009901,               0.009901,               0.009901
                      8,                 1.0613,                 3.4595,                 0.8541,                0.50984,                0.29547,                0.21971,                0.14278,                 1.1614,                 2.8074,                0.89388,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.0254,                 3.0438,                0.85074,                0.39363,                0.34356,                0.22946,                0.15856,                 1.1017,                 2.4078,                 0.8763,              0.0098614,              0.0098614,              0.0098614
                     10,                0.90005,                 2.7805,                0.83682,                0.37385,                0.38768,                0.26155,                0.18424,                 1.0885,                 2.4989,                0.89346,              0.0098416,              0.0098416,              0.0098416
                     11,                0.87246,                 2.5806,                0.83872,                0.46974,                0.30839,                0.24044,                 0.1696,                 1.0515,                 2.2097,                0.86306,              0.0098218,              0.0098218,              0.0098218
                     12,                0.81475,                 2.3881,                0.82255,                   0.42,                0.33441,                0.26738,                0.19661,                0.99552,                 2.1482,                0.86534,               0.009802,               0.009802,               0.009802
                     13,                0.79898,                 2.1659,                0.82354,                0.43545,                0.32677,                0.30407,                0.21823,                 1.0081,                 1.9755,                0.85919,              0.0097822,              0.0097822,              0.0097822
                     14,                0.85297,                  1.918,                0.82462,                0.36106,                0.33246,                0.31445,                0.23239,                 1.0096,                 1.9522,                0.86134,              0.0097624,              0.0097624,              0.0097624
                     15,                0.73773,                 1.8203,                0.81827,                0.38165,                0.35815,                0.29304,                0.21612,                0.95524,                 2.0642,                0.85856,              0.0097426,              0.0097426,              0.0097426
                     16,                0.70931,                 1.6539,                0.81623,                0.36001,                 0.3558,                0.28151,                0.20535,                0.98438,                 2.1099,                0.85839,              0.0097228,              0.0097228,              0.0097228
                     17,                0.74433,                 1.5072,                0.81398,                  0.519,                0.36293,                0.27535,                0.19879,                 1.0155,                 2.0964,                0.86055,               0.009703,               0.009703,               0.009703
